title,category,singer
望,古风,张碧晨
听,古风,张杰
当,古风,
叹,古风,黄龄
繁花,古风,董贞
赤怜,古风,
年轮,古风,张碧晨
卜卦,古风,
大鱼,古风,周深
难却,古风,
舍得,古风,
笑纳,古风,
天下,古风,张杰
偏爱,古风,
落花,古风,林心如
芊芊,古风,
珠玉,古风,单依纯
探窗,古风,
精卫,古风,
江湖,古风,
幻听,古风,
原点,古风,
山鬼,古风,
不染,古风,
画心,古风,
凉凉,古风,
千古,古风,
月光,古风,
谪居,古风,
相思,古风,
牵丝戏,古风,
相思遥,古风,
壁上观,古风,
鸳鸯戏,古风,
伯虎说,古风,
叹云兮,古风,
广寒宫,古风,
虞兮叹,古风,
春不晚,古风,
关山酒,古风,
半壶纱,古风,
风筝误,古风,
无情画,古风,
九重楼,古风,
回马枪,古风,
青玉恋,古风,
盗将行,古风,
长安忆,古风,
九万字,古风,
女儿情,古风,
燕归巢,古风,
千百度,古风,
庐州月,古风,
九张机,古风,
青花瓷,古风,
桃花诺,古风,
白头吟,古风,
多情种,古风,
红昭愿,古风,
燕无歇,古风,
千年泪,古风,
霜雪千年,古风,
三寸天堂,古风,
人间烟火,古风,
等你归来,古风,
时光洪流,古风,
一笑江湖,古风,
梅坞寻茶,古风,
棠梨煎雪,古风,
烟雨行舟,古风,
西楼别序,古风,
身骑白马,古风,
此去半生,古风,
此生不换,古风,
天若有情,古风,
不问别离,古风,
如果当时,古风,
十年人间,古风,
爱的供养,古风,
落花成泥,古风,
知否知否,古风,
烟花易冷,古风,
归去来兮,古风,
辞九门回忆,古风,
清明上河图,古风,
新贵妃醉酒,古风,
三拜红尘凉,古风,
新鸳鸯蝴蝶梦,古风,
昨夜星辰又星辰,古风,
我的一个道姑朋友,古风,
繁华梦,古风,
红颜旧,古风,
星河叹,古风,
左手指月,古风,
生生世世爱,古风,
默,流行,
当,流行,
笼,流行,
爱,流行,
如愿,流行,
天空,流行,
倒带,流行,
阿刁,流行,
破茧,流行,
她说,流行,
如故,流行,
慢冷,流行,
踏浪,流行,
舍得,流行,
沦陷,流行,
着魔,流行,
你我,流行,
天路,流行,
沧海,流行,
十年,流行,
心墙,流行,
江南,流行,
泡沫,流行,
假装,流行,
暖暖,流行,
阴天,流行,
趁早,流行,
唯一,流行,
囚鸟,流行,
海底,流行,
像鱼,流行,
芊芊,流行,
李白,流行,
水手,流行,
过火,流行,
火苗,流行,
可能,流行,
遇见,流行,
小小,流行,
体面,流行,
黄昏,流行,
偏爱,流行,
勇气,流行,
后来,流行,
全是爱,流行,
小情歌,流行,
天亮了,流行,
月牙湾,流行,
七月上,流行,
樱花草,流行,
小酒窝,流行,
追光者,流行,
若把你,流行,
日不落,流行,
甜蜜蜜,流行,
小幸运,流行,
丑八怪,流行,
从前说,流行,
刚刚好,流行,
欧若拉,流行,
小美满,流行,
云与海,流行,
他不懂,流行,
听说你,流行,
虹之间,流行,
虫儿飞,流行,
在深秋,流行,
下雨天,流行,
我爱他,流行,
十一年,流行,
童话镇,流行,
该忘了,流行,
喜欢你,流行,
龙卷风,流行,
跳楼机,流行,
下一秒,流行,
逆流成河,流行,
大地飞歌,流行,
无名之辈,流行,
告白气球,流行,
秋殇别恋,流行,
忽而今夏,流行,
一路生花,流行,
夏天的风,流行,
数字人生,流行,
我的美丽,流行,
我很快乐,流行,
不再联系,流行,
梦的光点,流行,
千年之恋,流行,
光年之外,流行,
错位时空,流行,
乌梅子酱,流行,
飞鸟和蝉,流行,
星光派对,流行,
等你归来,流行,
百万个吻,流行,
奢香夫人,流行,
自由飞翔,流行,
荷塘月色,流行,
蝴蝶泉边,流行,
光点方向,流行,
我们的爱,流行,
时光洪流,流行,
爱似水仙,流行,
一笑倾城,流行,
身骑白马,流行,
郎的诱惑,流行,
时间煮雨,流行,
匆匆那年,流行,
我的天空,流行,
山楂树の恋,流行,
天使的翅膀,流行,
陪我去流浪,流行,
爱的回归线,流行,
想你时风起,流行,
若月亮没来,流行,
有形的翅膀,流行,
下个路口见,流行,
一直很安静,流行,
勇气大爆发,流行,
新娘不是我,流行,
红色高跟鞋,流行,
如果爱忘了,流行,
月亮照山川,流行,
等爱的玫瑰,流行,
阿拉斯加海湾,流行,
世界赠予我的,流行,
雪落下的声音,流行,
去有风的地方,流行,
落在生命里的光,流行,
天亮以前说再见,流行,
那些你很冒险的梦,流行,
开往早晨的午夜,流行,
白月光与朱砂痣,流行,
看得最远的地方,流行,
满天星辰不及你,流行,
这世界那么多人,流行,
就让这大雨全都落下,流行,
不要慌太阳下山有月光,流行,
世界这么大还是遇见你,流行,
